"","log.Richness","Richness","angle2","NAP","grainsize","humus","week"
"1",2.484906649788,11,96,0.045,222.5,0.05,"1"
"2",2.39789527279837,10,96,-1.036,200,0.3,"1"
"3",2.63905732961526,13,96,-1.336,194.5,0.1,"1"
"4",2.484906649788,11,96,0.616,221,0.15,"1"
"5",2.39789527279837,10,96,-0.684,202,0.05,"1"
"6",2.19722457733622,8,89,1.19,192.5,0.1,"1"
"7",2.30258509299405,9,89,0.82,205.5,0.1,"1"
"8",2.19722457733622,8,89,0.635,211.5,0.1,"1"
"9",2.99573227355399,19,89,0.061,205.5,0.15,"1"
"10",2.89037175789616,17,89,-1.334,197,0,"1"
"11",1.94591014905531,6,42,-0.976,330.5,0.05,"2"
"12",0.693147180559945,1,42,1.494,272.5,0,"2"
"13",1.6094379124341,4,42,-0.201,296.5,0.1,"2"
"14",1.38629436111989,3,42,-0.482,304,0.05,"2"
"15",1.38629436111989,3,42,0.167,323.5,0.1,"2"
"16",0.693147180559945,1,31,1.768,293.5,0.05,"2"
"17",1.38629436111989,3,31,-0.03,361,0,"2"
"18",1.38629436111989,3,31,0.46,330.5,0.05,"2"
"19",0.693147180559945,1,31,1.367,289.5,0,"2"
"20",1.6094379124341,4,31,-0.811,297,0,"2"
"21",1.38629436111989,3,21,1.117,251.5,0,"4"
"22",3.13549421592915,22,21,-0.503,265,0,"4"
"23",1.94591014905531,6,21,0.729,275.5,0.1,"4"
"24",0,0,21,1.627,256.5,0,"4"
"25",1.94591014905531,6,21,0.054,254.5,0.1,"4"
"26",1.79175946922805,5,36,-0.578,351,0,"3"
"27",1.6094379124341,4,36,-0.348,405.5,0.05,"3"
"28",0.693147180559945,1,36,2.222,347.5,0,"3"
"29",1.94591014905531,6,36,-0.893,336,0.05,"3"
"30",1.6094379124341,4,36,0.766,354.5,0,"3"
"31",1.09861228866811,2,77,0.883,266,0.05,"2"
"32",0.693147180559945,1,77,1.786,256.5,0.0125,"2"
"33",0.693147180559945,1,77,1.375,234,0,"2"
"34",1.38629436111989,3,77,-0.06,242,0,"2"
"35",1.6094379124341,4,77,0.367,284,0,"2"
"36",1.38629436111989,3,32,1.671,294.5,0,"3"
"37",1.79175946922805,5,32,-0.375,316.5,0.1,"3"
"38",2.07944154167984,7,32,-1.005,355,0,"3"
"39",1.79175946922805,5,32,0.17,362,0,"3"
"40",0,0,32,2.052,311.5,0,"3"
"41",2.07944154167984,7,96,-0.356,244.5,0.05,"3"
"42",2.484906649788,11,96,0.094,247.5,0.2,"3"
"43",1.38629436111989,3,96,-0.002,223,0,"3"
"44",0,0,96,2.255,186,0.05,"3"
"45",1.09861228866811,2,96,0.865,189.5,0,"3"
