"spp","dist","prot","porc","meta"
"Alectrurus_tricolor",6073,480,7.90383665404248,0.8
"Alipiopsitta_xanthops",33117,1883,5.6859015007398,0.2
"Ammodramus_humeralis",7595,443,5.83278472679394,0.8
"Anodorhynchus_hyacinthinus",29582,1918,6.48367250354946,0.4
"Antilophia_galeata",16271,1248,7.6700878864237,0.4
"Arremon_flavirostris",11610,667,5.74504737295435,0.4
"Campylopterus_largipennis",2456,286,11.6449511400651,0.8
"Campylorhamphus_trochilirostris",20229,1280,6.32754955756587,0.4
"Celeus_flavus",29682,1245,4.19446128967051,0.4
"Celeus_obrieni",19809,715,3.60947044272805,0.4
"Cercomacra_ferdinandi",6543,502,7.67232156503133,0.8
"Charitospiza_eucosma",35581,2214,6.22242207919957,0.2
"Clibanornis_rectirostris",9187,619,6.73778164798084,0.8
"Columbina_cyanopis",7494,372,4.96397117694155,0.8
"Conopophaga_lineata",10438,721,6.90745353515999,0.4
"Conothraupis_mesoleuca",10895,649,5.95686094538779,0.4
"Coryphaspiza_melanotis",9316,596,6.39759553456419,0.8
"Crax_fasciolata",15619,1174,7.51648633075101,0.4
"Culicivora_caudacuta",25880,1811,6.99768160741886,0.4
"Cyanocorax_cristatellus",16479,1028,6.23824261180897,0.4
"Cypsnagra_hirundinacea",19480,1628,8.35728952772074,0.4
"Elanus_leucurus",8779,548,6.24216881193758,0.8
"Geobates_poecilopterus",15077,882,5.8499701532135,0.4
"Harpyhaliaetus_coronatus",26394,1897,7.18723952413427,0.4
"Herpsilochmus_atricapillus",2258,137,6.06731620903454,0.8
"Herpsilochmus_longirostris",14952,645,4.31380417335474,0.4
"Hydropsalis_candicans",3677,224,6.09192276312211,0.8
"Knipolegus_franciscanus",16287,1333,8.18444157917357,0.4
"Machetornis_rixosus",7294,724,9.92596654784755,0.8
"Melanopareia_torquata",21797,1249,5.7301463504152,0.4
"Mergus_octosetaceus",15670,1541,9.83407785577537,0.4
"Momotus_momota",19811,1176,5.9360961082227,0.4
"Myothlypis_leucophrys",17246,1379,7.9960570567088,0.4
"Neothraupis_fasciata",28293,1896,6.70130420952179,0.4
"Nothura_minor",3909,410,10.4886160143259,0.8
"Oryzoborus_maximiliani",26613,1382,5.19295081351219,0.4
"Penelope_ochrogaster",20479,1435,7.00717808486743,0.4
"Penelope_superciliaris",32311,2182,6.75311813314351,0.2
"Phyllomyias_reiseri",35600,1900,5.33707865168539,0.2
"Phylloscartes_roquettei",11786,438,3.71627354488376,0.4
"Piranga_flava",9636,750,7.78331257783313,0.8
"Platyrinchus_mystaceus",12818,884,6.89655172413793,0.4
"Polystictus_pectoralis",2878,200,6.94927032661571,0.8
"Polytmus_guainumbi",13743,553,4.02386669577239,0.4
"Poospiza_cinerea",10955,623,5.68690095846645,0.4
"Porphyrospiza_caerulescens",20223,1022,5.05365178262374,0.4
"Pulsatrix_perspicillata",28815,1774,6.15651570362658,0.4
"Pyrrhura_pfrimeri",13187,1180,8.94820656707363,0.4
"Saltator_atricollis",26202,1401,5.34692008243645,0.4
"Scytalopus_novacapitalis",5226,412,7.88365862992729,0.8
"Sporophila_cinnamomea",8782,575,6.54748348895468,0.8
"Sporophila_melanogaster",7670,609,7.9400260756193,0.8
"Sporophila_nigrorufa",7876,144,1.82833925850686,0.8
"Sporophila_palustris",4981,277,5.56113230275045,0.8
"Sporophila_plumbea",12047,624,5.17971279156636,0.4
"Suiriri_islerorum",23911,1579,6.6036552214462,0.4
"Synallaxis_simoni",11719,453,3.86551753562591,0.4
"Syndactyla_dimidiata",16143,782,4.84420491854054,0.4
"Taoniscus_nanus",8187,1240,15.1459631122511,0.8
"Tigrisoma_fasciatum",8084,482,5.96239485403266,0.8
